	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
									61184	41472	26128	26128	26112	25856	17152	12784	12784	8128	7568	6592	6592	6336	6336	6336	6144	5152	5152	5152	5152	5152	4672	4656	4656	4656	4656	4656	4608	4608	4608	3584	3584	3584	3584	3584	3584	3256	3256	3256	3256	3184	2912	2912	2528	2528	2528	2528	2528	2528	2528	2528	2400	2400	2400	2400	2400	2400	2400	2272	2272	2240	2240	2240	2240	2240	2240	2240	2240	2112	2112	2064	2064	2064	2064	2064	2064	2064	2064	1904	1904	1904	1904	1904	1904	1904	1904	1904	1904	1864	1864	1864	1864	1864	1864	1864	1864	1864	1864	1864	1864	1864	1864	1840	1840	1840	1840	1840	1840	1840	1600	1600	1572	1572	1136	1136	1136	1136	1136
									62912	49152	41472	27648	26128	26112	25856	17152	17152	12784	8128	7568	7568	6592	6592	6592	6336	6144	6144	6144	5824	5824	5152	4672	4672	4672	4672	4672	4656	4656	4656	4608	4608	4608	4608	4416	4416	3584	3584	3584	3584	3256	3184	3184	2912	2912	2912	2912	2912	2912	2912	2912	2528	2528	2528	2528	2400	2400	2400	2400	2400	2272	2272	2272	2272	2272	2272	2272	2272	2240	2240	2112	2112	2112	2112	2112	2112	2112	2112	2064	2064	2064	2064	2064	2064	2064	2064	2064	2064	1904	1904	1904	1904	1904	1904	1904	1904	1904	1904	1904	1904	1904	1904	1864	1864	1864	1864	1864	1864	1864	1840	1840	1600	1600	1572	1572	1572	1572	1572
										61184	49152	41472	27648	26128	26112	25856	25856	17152	12784	8128	8128	7568	7568	7568	6592	6336	6336	6336	6144	6144	5824	5152	5152	5152	5152	5152	4672	4672	4672	4656	4656	4656	4656	4608	4608	4416	4416	4416	4416	3584	3256	3256	3184	3184	3184	3184	3184	3184	3184	3184	2912	2912	2656	2656	2528	2528	2528	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2272	2272	2240	2240	2240	2240	2240	2240	2240	2240	2112	2112	2112	2112	2112	2112	2112	2112	2112	2112	2064	2064	2064	2064	2064	2064	2064	2064	2064	2064	2064	2064	2064	2064	1904	1904	1904	1904	1904	1904	1904	1864	1864	1840	1840	1600	1600	1600	1600	1600
										62912	61184	49152	41472	27648	26128	26112	26112	25856	17152	12784	12288	8128	8128	8128	7568	6592	6592	6592	6336	6336	6144	5824	5824	5824	5824	5824	5152	5152	5152	4672	4672	4672	4672	4656	4656	4608	4608	4608	4608	4416	3584	3584	3256	3256	3256	3256	3256	3256	3256	3256	3184	3184	2912	2912	2656	2656	2656	2528	2528	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2272	2272	2272	2272	2272	2272	2272	2272	2240	2240	2240	2240	2240	2192	2192	2192	2192	2124	2112	2112	2112	2112	2112	2112	2112	2112	2112	2112	2112	2112	2112	2112	2064	2064	2064	2064	2064	2064	2064	1904	1904	1864	1864	1840	1840	1840	1840	1840
											62912	51200	49152	41472	27648	26128	26128	26112	25856	13248	12784	12288	12288	12288	8128	7568	7568	7568	6592	6592	6336	6144	6144	6144	6144	6144	5824	5824	5824	5152	5152	5152	5152	4672	4672	4656	4656	4656	4656	4608	4416	4088	3584	3584	3584	3584	3584	3584	3584	3584	3256	3256	3184	3184	2912	2912	2912	2656	2656	2528	2528	2528	2528	2528	2528	2528	2528	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2272	2272	2272	2272	2272	2240	2240	2240	2240	2192	2124	2124	2124	2124	2124	2124	2124	2124	2124	2124	2124	2124	2124	2124	2112	2112	2112	2112	2112	2112	2112	2064	2064	1904	1904	1864	1864	1864	1864	1864
												61184	51200	49152	41472	27648	27648	26128	26112	17152	13248	12784	12784	12784	12288	8128	8128	8128	7568	7568	6592	6336	6336	6336	6336	6336	6144	6144	6144	5824	5824	5824	5824	5152	5152	4672	4672	4672	4672	4656	4608	4416	4088	3600	3600	3600	3600	3600	3600	3600	3584	3584	3256	3256	3184	3184	3184	2912	2912	2656	2656	2656	2656	2656	2656	2656	2656	2528	2528	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2272	2272	2272	2272	2272	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2192	2124	2124	2124	2124	2124	2124	2124	2112	2112	2064	2064	1904	1904	1904	1904	1904
												62912	61184	51200	49152	41472	41472	27648	26128	25856	17152	13248	13248	13248	12784	12288	8896	8896	8128	8128	7568	6592	6592	6592	6592	6592	6336	6336	6336	6144	6144	6144	6144	5824	5824	5152	5152	5152	5152	4672	4656	4608	4416	4088	4088	4088	4088	4088	4088	4088	3600	3600	3584	3584	3256	3256	3256	3184	3184	2912	2912	2912	2912	2912	2912	2912	2912	2656	2656	2528	2528	2528	2528	2528	2528	2528	2528	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2272	2272	2272	2272	2272	2272	2272	2272	2272	2272	2272	2272	2272	2272	2192	2192	2192	2192	2192	2192	2192	2124	2124	2112	2112	2064	2064	2064	2064	2064
													62912	56768	51200	42752	42752	41472	27648	26112	25856	17152	17152	17152	13248	12784	12288	9760	8896	8896	8128	7568	7568	7568	7568	7568	6592	6592	6592	6336	6336	6336	6336	6144	6144	5824	5824	5824	5824	5152	4672	4656	4608	4416	4416	4256	4256	4256	4256	4256	4088	4088	3600	3600	3584	3584	3584	3256	3256	3184	3184	3072	3072	3072	3072	3072	3072	2912	2912	2656	2656	2656	2656	2656	2656	2656	2656	2528	2528	2528	2528	2528	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2272	2272	2272	2272	2272	2272	2272	2192	2192	2124	2124	2112	2112	2112	2112	2112
													90496	61184	56768	49152	49152	42752	39136	26128	26112	25856	25856	25856	17152	13248	12784	12288	9760	9760	8896	8128	8128	8128	8128	8128	7568	7568	7568	6592	6592	6592	6592	6336	6336	6144	6144	6144	6144	5824	5152	4672	4656	4608	4608	4416	4416	4416	4416	4416	4256	4256	4088	3872	3600	3600	3600	3584	3584	3256	3256	3184	3184	3184	3184	3184	3184	3072	3072	2912	2912	2912	2912	2912	2704	2704	2704	2656	2616	2616	2616	2616	2528	2528	2528	2528	2528	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2400	2390	2390	2390	2390	2272	2272	2192	2192	2124	2124	2124	2124	2124
														62912	61184	51200	51200	49152	41472	27648	26128	26112	26112	26112	25856	17152	13248	12784	12288	12288	9760	8896	8896	8896	8896	8896	8128	8128	8128	7568	7568	6624	6624	6592	6592	6336	6336	6336	6336	6144	5824	5152	4672	4656	4656	4608	4608	4608	4608	4608	4416	4416	4256	4088	3872	3872	3872	3600	3600	3584	3584	3256	3256	3256	3256	3256	3256	3184	3184	3072	3072	3072	3072	3072	2912	2912	2912	2704	2656	2656	2656	2656	2616	2616	2616	2616	2616	2528	2528	2528	2528	2528	2528	2528	2528	2528	2528	2528	2528	2528	2528	2400	2400	2400	2400	2400	2400	2400	2390	2390	2272	2272	2192	2192	2192	2192	2192
														90496	62912	56768	56768	51200	42752	39136	27648	26128	26128	26128	26112	25856	17152	13248	12784	12784	12288	9760	9760	9760	9760	9760	8896	8896	8896	8128	8128	7568	7568	6624	6624	6592	6592	6592	6592	6336	6144	5824	5152	4672	4672	4656	4656	4656	4656	4656	4608	4608	4416	4256	4088	4088	4088	3872	3872	3600	3600	3584	3584	3584	3584	3584	3584	3256	3256	3184	3184	3184	3184	3184	3072	3072	3072	2912	2704	2704	2704	2704	2656	2656	2656	2656	2656	2616	2616	2616	2616	2616	2616	2616	2616	2616	2616	2616	2616	2616	2616	2528	2528	2528	2400	2400	2400	2400	2400	2400	2390	2390	2272	2272	2272	2272	2272
															90496	61184	61184	52992	49152	41472	28452	27648	26176	26176	26128	26112	23360	17152	13248	13248	12784	12288	12288	12288	12288	12288	9760	9760	9760	8896	8896	8128	8128	7568	7568	6624	6624	6624	6624	6592	6336	6144	5824	5152	5152	4672	4672	4672	4672	4672	4656	4656	4608	4416	4256	4256	4256	4088	4088	3872	3872	3600	3600	3600	3600	3600	3600	3584	3584	3256	3256	3256	3256	3256	3184	3184	3184	3072	2912	2912	2896	2896	2704	2704	2704	2704	2704	2656	2656	2656	2656	2656	2656	2656	2656	2656	2656	2656	2656	2656	2656	2616	2616	2616	2528	2528	2528	2528	2400	2400	2400	2400	2390	2390	2390	2390	2390
															96000	62912	62912	56768	51200	42752	39136	28452	27648	26672	26176	26128	25856	23360	17152	17152	13248	12784	12784	12784	12784	12784	12288	12288	12288	9760	9760	8896	8896	8128	8128	7568	7568	7568	7568	6624	6592	6336	6144	5824	5824	5152	5152	5152	5152	4796	4672	4672	4656	4608	4416	4416	4416	4256	4256	4088	4088	3872	3872	3872	3872	3872	3872	3600	3600	3584	3584	3584	3584	3584	3256	3256	3256	3184	3072	3072	2912	2912	2896	2896	2896	2896	2896	2704	2704	2704	2704	2704	2704	2704	2704	2704	2704	2704	2704	2704	2704	2656	2656	2656	2616	2616	2616	2616	2528	2528	2400	2400	2400	2400	2400	2400	2400
																90496	90496	61184	52992	49152	41472	39136	28452	27648	26672	26176	26112	25856	23360	23360	16896	13248	13248	13248	13248	13248	12784	12784	12784	12288	12288	9760	9760	8896	8896	8128	8128	8128	8128	7568	6624	6592	6336	6144	6144	5824	5824	5824	5824	5152	4796	4796	4672	4656	4608	4608	4608	4416	4416	4256	4256	4088	4088	4088	4088	4088	4088	3872	3872	3600	3600	3600	3600	3600	3584	3584	3584	3256	3184	3184	3072	3072	2912	2912	2912	2912	2912	2896	2896	2896	2896	2896	2896	2896	2896	2896	2896	2896	2896	2896	2896	2704	2704	2704	2656	2656	2656	2656	2616	2616	2528	2528	2400	2400	2400	2400	2400
																96000	96000	62912	56768	51200	42752	41472	39136	28452	27648	26672	26128	26112	25856	25856	17152	16896	16896	16896	16896	16896	13248	13248	13248	12784	12784	12288	12288	9760	9760	8896	8896	8896	8896	8128	7568	6624	6592	6336	6336	6144	6144	6144	6144	5824	5152	5152	4796	4672	4656	4656	4656	4608	4608	4416	4416	4256	4256	4256	4256	4256	4256	4088	4088	3872	3872	3872	3872	3632	3600	3600	3600	3584	3256	3256	3184	3184	3072	3072	3072	3072	3072	2912	2912	2912	2912	2912	2912	2912	2912	2912	2912	2912	2912	2912	2912	2896	2896	2896	2704	2704	2704	2704	2656	2656	2616	2616	2528	2528	2528	2528	2528
																		90496	61184	52992	49152	42752	41472	39136	28452	27648	26176	26128	26112	26112	23360	17152	17152	17152	17152	17152	16896	14848	14848	13248	13248	12784	12784	12288	12288	9760	9760	9760	9760	8896	8128	7568	6624	6592	6592	6336	6336	6336	6336	6144	5824	5824	5152	4796	4672	4672	4672	4656	4656	4608	4608	4416	4416	4416	4416	4416	4416	4256	4256	4088	4088	4088	4088	3872	3632	3632	3632	3600	3584	3584	3256	3256	3184	3184	3184	3184	3184	3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	3072	2912	2912	2912	2896	2896	2896	2896	2704	2704	2656	2656	2616	2616	2616	2616	2616
																		96000	62912	56768	51200	49152	42752	41472	39136	28452	26672	26176	26128	26128	25856	23360	23360	23360	23360	19392	17152	16896	16896	14848	14848	13248	13248	12784	12544	12288	12288	12288	12288	9760	8896	8080	7568	6624	6624	6592	6592	6592	6592	6336	6144	6144	5824	5152	4796	4796	4796	4672	4672	4656	4656	4608	4608	4448	4448	4448	4448	4416	4416	4256	4240	4240	4240	4088	3872	3872	3872	3632	3600	3600	3584	3584	3256	3256	3256	3256	3256	3184	3184	3184	3184	3184	3184	3184	3184	3184	3184	3184	3184	3184	3184	3072	3072	3072	2912	2912	2912	2912	2896	2896	2704	2704	2656	2656	2656	2656	2656
																			90496	61184	52992	51200	49152	42752	41472	39136	27648	26672	26176	26176	26112	25856	25856	25856	25856	23360	19392	17152	17152	16896	16896	14848	14848	13248	12784	12544	12544	12544	12544	12288	9760	8128	8080	7568	7568	6624	6624	6624	6624	6592	6336	6336	6144	5824	5152	5152	4928	4796	4796	4672	4672	4656	4656	4608	4608	4608	4608	4448	4448	4416	4256	4256	4256	4240	4088	3984	3984	3872	3632	3632	3600	3600	3584	3584	3584	3584	3584	3256	3256	3256	3256	3256	3256	3256	3256	3256	3256	3256	3256	3256	3256	3184	3184	3184	3072	3072	3072	3072	2912	2912	2896	2896	2704	2704	2704	2704	2704
																			96000	62912	56768	52992	51200	49152	42752	41472	28452	27648	26672	26496	26128	26112	26112	26112	26112	25856	23360	19392	19392	17152	17152	16896	16328	14848	13248	12784	12784	12784	12784	12544	12288	8896	8128	8080	8080	7568	7568	7568	7568	6624	6592	6592	6336	6144	5824	5824	5152	4928	4928	4796	4796	4672	4672	4656	4656	4656	4656	4608	4608	4448	4416	4416	4416	4256	4240	4088	4088	3984	3872	3668	3632	3632	3600	3600	3600	3600	3600	3584	3584	3584	3584	3584	3584	3584	3344	3344	3344	3344	3344	3344	3344	3256	3256	3256	3184	3184	3184	3184	3072	3072	2912	2912	2896	2896	2896	2896	2896
																				90496	61184	56768	52992	51200	49152	42752	39136	28452	27648	26672	26176	26128	26128	26128	26128	26112	25856	23360	23360	19392	19392	17152	16896	16328	14848	12980	12980	12980	12980	12784	12544	9760	8896	8128	8128	8080	8080	8080	8080	7568	6624	6624	6592	6336	6144	6144	5824	5152	5152	4928	4928	4796	4796	4672	4672	4672	4672	4656	4656	4608	4448	4448	4448	4416	4256	4240	4240	4088	3984	3872	3668	3668	3632	3632	3632	3632	3632	3600	3600	3600	3600	3600	3600	3600	3584	3584	3584	3584	3392	3392	3392	3344	3344	3344	3256	3256	3256	3256	3184	3184	3072	3068	2912	2912	2912	2912	2912
																				96000	62912	61184	56444	52992	51200	49152	41472	28800	28452	27648	26496	26176	26176	26176	26176	26128	26112	25856	25856	23360	22848	19392	17152	16896	16328	13248	13248	13248	13248	12980	12784	12288	9760	8896	8896	8128	8128	8128	8128	8080	7568	7568	6624	6592	6288	6288	6144	5824	5824	5152	5152	4928	4928	4796	4796	4796	4796	4672	4672	4656	4608	4608	4608	4448	4416	4256	4256	4240	4088	3984	3872	3872	3668	3668	3668	3668	3668	3632	3632	3632	3632	3632	3632	3632	3600	3600	3600	3600	3584	3584	3584	3392	3392	3392	3344	3344	3344	3344	3256	3256	3184	3072	3068	3068	3068	3068	3068
																					90496	62912	56768	56444	52992	51200	42752	39136	28800	28452	26672	26496	26496	26496	26496	26176	26128	26112	26112	25856	23360	22848	19392	17152	16896	14848	14848	14848	14848	13248	12980	12544	12288	9760	9760	8896	8896	8896	8896	8128	8080	8080	7568	6624	6336	6336	6288	6144	6144	5824	5824	5152	5152	4928	4928	4928	4928	4796	4796	4672	4656	4656	4656	4608	4448	4416	4416	4256	4240	4088	3984	3984	3872	3872	3872	3872	3872	3668	3668	3668	3668	3668	3668	3668	3632	3632	3632	3632	3600	3600	3600	3584	3584	3584	3392	3392	3392	3392	3344	3344	3256	3184	3072	3072	3072	3072	3072
																					96000	88852	61184	56768	54912	52992	49152	41472	39136	28800	27648	26672	26672	26672	26672	26496	26176	26128	26128	26112	25856	23360	22848	19392	17152	16328	16328	16328	16328	14848	13248	12784	12544	12288	12288	9760	9760	8960	8960	8860	8128	8128	8080	6816	6592	6592	6336	6288	6288	6144	6144	5824	5504	5152	5152	5152	5016	4928	4928	4796	4672	4672	4672	4656	4608	4448	4448	4416	4256	4240	4088	4088	3984	3984	3984	3984	3984	3872	3872	3872	3872	3872	3872	3872	3668	3668	3668	3668	3632	3632	3632	3600	3600	3600	3584	3584	3584	3584	3392	3392	3344	3256	3184	3184	3184	3184	3184
																						90496	62912	61184	56444	54912	51200	42752	41472	30448	28452	27648	27648	27648	27648	26672	26496	26176	26176	26128	26112	25856	23360	22848	17704	16896	16896	16896	16896	16328	14848	12980	12784	12544	12544	12288	10240	9760	9760	8896	8860	8860	8128	7568	6624	6624	6592	6336	6336	6288	6288	6144	5824	5504	5504	5504	5152	5016	5016	4928	4796	4796	4796	4672	4656	4608	4608	4448	4416	4256	4240	4240	4088	4088	4088	4088	4088	3984	3984	3984	3984	3984	3984	3984	3872	3872	3872	3872	3668	3668	3668	3632	3632	3632	3600	3600	3600	3600	3584	3584	3392	3344	3256	3256	3256	3248	3248
																						96000	88852	62912	56768	56444	52992	49152	42752	39136	28800	28452	28452	28452	28452	27648	26672	26496	26496	26176	26128	26112	25856	23360	19392	17152	17152	17152	17152	16896	16328	13248	12980	12784	12784	12544	12288	10240	10240	8960	8896	8896	8860	8080	6816	6816	6624	6592	6592	6336	6336	6288	6144	5824	5824	5812	5504	5152	5152	5016	4928	4928	4928	4796	4672	4656	4656	4608	4448	4416	4256	4256	4240	4240	4240	4240	4240	4088	4088	4088	4088	4088	4088	4088	3984	3984	3984	3984	3872	3872	3872	3668	3668	3668	3632	3632	3632	3632	3600	3600	3584	3392	3344	3344	3344	3256	3256
																							90496	88852	61184	56768	54912	51200	49152	41472	30448	28800	28800	28800	28800	28452	27648	26672	26672	26496	26176	26128	26112	25856	22848	17704	17704	17704	17704	17152	16896	14848	13248	12980	12980	12784	12544	12288	12288	9760	8960	8960	8896	8128	7568	7568	6816	6624	6624	6592	6592	6336	6288	6144	6144	5824	5812	5504	5504	5152	5016	5016	5016	4928	4796	4672	4672	4656	4608	4448	4416	4416	4256	4256	4256	4256	4256	4240	4240	4240	4240	4240	4240	4240	4088	4088	4072	4072	3984	3984	3888	3872	3872	3872	3668	3668	3668	3668	3632	3632	3600	3584	3392	3392	3392	3344	3344
																							96000	90496	62912	61184	56444	52992	51200	42752	39136	30448	30448	30448	30448	28800	28452	27648	27648	26672	26496	26176	26128	26112	23360	19392	18560	18560	18560	17704	17152	16328	14848	13248	13248	12980	12784	12544	12544	10240	9760	9760	8960	8860	8080	7820	7568	6816	6816	6624	6624	6592	6336	6288	6288	6144	5824	5812	5812	5504	5152	5152	5152	5016	4928	4796	4796	4672	4656	4608	4448	4448	4416	4416	4416	4416	4416	4256	4256	4256	4256	4256	4256	4256	4240	4240	4088	4088	4072	4072	3984	3888	3888	3888	3872	3872	3680	3680	3668	3668	3632	3600	3584	3584	3584	3392	3392
																								96000	88852	62912	56768	54912	52992	49152	41472	39136	39136	39136	39136	30448	28800	28452	28452	27648	26672	26496	26176	26128	25856	22848	19392	19392	19392	18560	17704	16896	16328	14820	14820	13248	12980	12784	12784	12288	10240	10240	9760	8896	8128	8080	7820	7568	7568	6816	6816	6624	6592	6336	6336	6288	6144	5824	5824	5812	5504	5504	5504	5152	5016	4928	4928	4796	4672	4656	4608	4576	4448	4448	4448	4448	4448	4416	4416	4336	4336	4336	4336	4336	4256	4256	4240	4176	4088	4088	4072	3984	3984	3984	3888	3888	3872	3872	3680	3680	3668	3632	3600	3600	3600	3584	3566
																									90496	88852	61184	56444	54912	51200	42752	41472	41472	40320	40320	39136	30448	28800	28800	28452	27648	26672	26496	26176	26112	23360	22848	22848	22848	19392	18560	17152	16896	14848	14848	14820	13248	12980	12980	12544	12288	12288	10240	8960	8860	8128	8080	7820	7820	7568	7568	6816	6624	6592	6592	6336	6288	6144	6144	5824	5812	5812	5812	5504	5152	5016	5016	4928	4796	4672	4656	4608	4576	4576	4576	4576	4576	4448	4448	4416	4416	4416	4416	4416	4336	4336	4256	4240	4176	4176	4088	4072	4072	4072	3984	3984	3888	3888	3872	3872	3680	3668	3632	3632	3632	3600	3584
